Center_Name,Type ,Region,Address,Phone,Street Number,Street Name,Postal Code,City
PCO TND AGIVR,D,Auvergne-Rhône-Alpes,227 boulevard Gambetta  69400 VILLEFRANCHE SUR SAÔNE,469372217,227,boulevard Gambetta,69400,VILLEFRANCHE SUR SAÔNE
SITED,D,Hauts-de-France,rue Guy Boulet 60480  BREUIL LE SEC,344775086,,rue Guy Boulet,60480,BREUIL LE SEC
Centre Expert Asperger CHAI,D,Auvergne-Rhône-Alpes,8 Place du Conseil national de la Résistance 38400 SAINT MARTIN D'HERES,456588801,8,Place du Conseil national de la Résistance,38400,SAINT MARTIN D'HERES
UNITE PETAL,D,Pays-de-la-Loire,5 allée de l'Île-Gloriette 44000 NANTES,253526180,5,allée de l'Île-Gloriette,44000,NANTES
PCO TND 7/12 ans Nord Franche-Comté,D,Bourgogne-Franche-Comté,11 rue de Phaffans 90380 ROPPE,775109399,11,rue de Phaffans,90380,ROPPE
PCO TND 7/12 ans Vaucluse,D,Provence-Alpes-Côte d'azur,178 avenue lepine 84700 SORGUES,490020116,178,avenue lepine,84700,SORGUES
PCO TND 7/12 ans Charente,D,Nouvelle-Aquitaine,31 Rue du Stade 16400 LA COURONNE,545662121,31,Rue du Stade,16400,LA COURONNE
PCO TND 7/12 ans Alpes-de-Haute-Provence,D,Provence-Alpes-Côte d'azur,118 rue des Plantiers 04100 MANOSQUE,614741593,118,rue des Plantiers,04100,MANOSQUE
CAMPILLES,D,Occitanie,avenue du Roussillon 66300 THUIR,468846580,,avenue du Roussillon,66300,THUIR
PCO TND 7/12 ans,D,Occitanie,14 rue Eugène Sue 32000 AUCH,562612089,14,rue Eugène Sue,32000,AUCH
PCO TND 7/12 ans Corrèze,D,Nouvelle-Aquitaine,25 quai Gabriel Péri 19000 TULLE,555172020,25,quai Gabriel Péri,19000,TULLE
CRA Nord Pas de Calais,R,Hauts-de-France,255 rue Nelson Mandela 59120 LOOS,320606259,255,rue Nelson Mandela,59120,LOOS
CRA Picardie,R,Hauts-de-France,1 Rond-point du Pr Christian Cabrol 80000 AMIENS,322667540,1,Rond-point du Pr Christian Cabrol,80000,AMIENS
CRA Bretagne  Unité dappui et de coordination (UAC),R,Bretagne,3 rue Edouard Belin 29200 BREST,298855890,3,rue Edouard Belin,29200,BREST
CRA Poitou Charente,R,Nouvelle-Aquitaine,CH Henri Laborit - Pavillon Lagrange - Entrée 29 86000 POITIERS,549445759,,CH Henri Laborit - Pavillon Lagrange - Entrée 29,86000,POITIERS
CRA PACA Marseille,R,Provence-Alpes-Côte d'azur,270 boulevard Sainte-Marguerite ou 20 avenue Vitton 13009 MARSEILLE,491745439,270,boulevard Sainte-Marguerite ou 20 avenue Vitton,13009,MARSEILLE
CRA Languedoc-Roussillon,R,Occitanie,291 av du Doyen Giraud 34295 MONTPELLIER,467339968,291,av du Doyen Giraud,34295,MONTPELLIER
CRA Corse,R,Corse,2 Pôles : Bastia et Ajaccio,495565850,,2 Pôles : Bastia et Ajaccio,,
CRA Guadeloupe,R,DROM - PTOM (97-98),Rue Thomas Edison  97122 BAIE-MAHAULT,590252390,,Rue Thomas Edison,97122,BAIE-MAHAULT
CRA  Normandie,R,Normandie,27 rue des Compagnons 14000 CAEN,231065820,27,rue des Compagnons,14000,CAEN
CRA  Normandie Seine - Eure,R,Normandie,4 Rue Paul Eluard  76300 SOTTEVILLE-LES-ROUEN,232951864,4,Rue Paul Eluard,76300,SOTTEVILLE-LES-ROUEN
CRA de Franche-Comté,R,Bourgogne-Franche-Comté,3 rue Victor Sellier  25000 BESANCON,381218244,3,rue Victor Sellier,25000,BESANCON
CRA Champagne Ardenne,R,Grand Est,Avenue du Général Knig 51090 REIMS,326783967,,Avenue du Général Knig,51090,REIMS
CRA Pays- de- la-Loire,R,Pays-de-la-Loire,4 rue Larrey 49900 ANGERS,241353121,4,rue Larrey,49900,ANGERS
CRA Lorraine,R,Grand Est,1 rue du Docteur Archambault 54520 LAXOU,383926676,1,rue du Docteur Archambault,54520,LAXOU
CRA Bourgogne,R,Bourgogne-Franche-Comté,19-21 rue René Coty 21000  DIJON,380295419,,19-21 rue René Coty,21000,DIJON
CRA Rhône Alpes,R,Auvergne-Rhône-Alpes,95 boulevard Pinel 69500 BRON,437915465,95,boulevard Pinel,69500,BRON
CRA Alsace,R,Grand Est,13 rue Charles Sandherr 68000  COLMAR,389201195,13,rue Charles Sandherr,68000,COLMAR
CRA Auvergne,R,Auvergne-Rhône-Alpes,58 rue Montalembert 63000 CLERMONT-FERRAND,473751948,58,rue Montalembert,63000,CLERMONT-FERRAND
CRA Réunion,R,DROM - PTOM (97-98),14 ruelle Rivière 97436  SAINT LEU,+262 262 22 59 52,14,ruelle Rivière,97436,SAINT LEU
CRA Centre Val de Loire,R,Centre-Val de Loire,2 Boulevard tonnellé 37000 TOURS,254352424,2,Boulevard tonnellé,37000,TOURS
CRA Limousin,R,Nouvelle-Aquitaine,23 Avenue Dominique Larrey   87000 LIMOGES,555058984,23,Avenue Dominique Larrey,87000,LIMOGES
CRA Martinique,R,DROM - PTOM (97-98),Immeuble Antares 97200  LE LAMENTIN,+596 596 48 83 60,,Immeuble Antares,97200,LE LAMENTIN
CRA Guyane Française,R,DROM - PTOM (97-98),10 rue des Galaxies 97300  CAYENNE,594298424,10,rue des Galaxies,97300,CAYENNE
CRA Midi-Pyrénées,R,Occitanie,2 rue du lieutenant Guy Dedieu 31300 TOULOUSE,523610400,2,rue du lieutenant Guy Dedieu,31300,TOULOUSE
CRA PACA Antenne de Nice,R,Provence-Alpes-Côte d'azur,57 avenue de la Californie 06200 NICE,492030439,57,avenue de la Californie,06200,NICE
CRA Aquitaine,R,Nouvelle-Aquitaine,121 Rue de la Béchade  33000 BORDEAUX,556566719,121,Rue de la Béchade,33000,BORDEAUX
CRAIF - Centre de Ressources Autisme Ile-de-France,R,Île-de-France,10 rue Waldeck Rochet 93300 AUBERVILLIERS,149285420,10,rue Waldeck Rochet,93300,AUBERVILLIERS
GNCRA - Groupement National des Centres Ressources Autisme,R,France,10 rue Waldeck Rochet  93300 AUBERVILLIERS,,10,rue Waldeck Rochet,93300,AUBERVILLIERS
INTIMAGIR IDF,R,Île-de-France,,623791425,,,,
INTIMAGIR LA REUNION,R,Réunion,,262254015,,,,
INTIMAGIR PACA,R,Provence-Alpes-Côte d'azur,,782570285,,,,
INTIMAGIR BFC,R,Bourgogne-Franche-Comté,,611591052,,,,
INTIMAGIR CVL,R,Centre-Val de Loire,,247760508,,,,
INTIMAGIR ARA,R,Auvergne-Rhône-Alpes,,749889879,,,,
INTIMAGIR PDL,R,Pays-de-la-Loire,,800081111,,,,
INTIMAGIR BRETAGNE,R,Bretagne,,299295016,,,,
INTIMAGIR OCCITANIE,R,Occitanie,,678234190,,,,
INTIMAGIR NORMANDIE,R,Normandie,,756214065,,,,
INTIMAGIR HDF,R,Hauts-de-France,,392100500,,,,
INTIMAGIR CORSE,R,Corse,,699542688,,,,
INTIMAGIR GE,R,Grand Est,,649481719,,,,
INTIMAGIR NA,R,Nouvelle-Aquitaine,2 rue Ronsard 33400 TALENCE,,2,rue Ronsard,33400,TALENCE
Centre de ressources CAA - Equipe et Moi en CAA,R,Bretagne,,297826184,,,,
